Gly (mol/L),DMSO (mol/L),PG (mol/L),EG (mol/L),FA (mol/L),k_pinn,loss_final
0.0,5.0,5.0,0.0,0.0,0.6930084228515625,0.0012800644617527
0.0,7.0,0.0,0.0,0.0,0.0291781295090913,0.0131831094622612
0.0,10.0,0.0,0.0,0.0,0.1829884648323059,0.0155748352408409
0.5,0.0,0.0,0.0,0.5,0.0013934029266238,0.0006764929275959
0.5,0.0,0.0,0.5,0.0,0.0008720211917534,0.0018179465550929
0.5,0.0,0.5,0.0,0.0,0.0014272480038926,0.0092585189267992
0.5,0.5,0.0,0.0,0.0,0.0008361776708625,0.0104764122515916
1.0,0.0,0.0,0.0,0.0,0.0008062259294092,0.0033423046115785
1.5,0.0,0.0,0.0,1.5,0.0008277575252577,0.0034705679863691
1.5,0.0,0.0,1.5,0.0,0.0012875316897407,0.0055094938725233
1.5,0.0,1.5,0.0,0.0,0.0025441346224397,0.0010400281753391
1.5,1.5,0.0,0.0,0.0,0.0026289375964552,0.0016378001309931
2.5,0.0,0.0,0.0,2.5,0.0101701496168971,0.0027171594556421
2.5,0.0,0.0,2.5,0.0,0.0007692404906265,0.0038934689946472
2.5,0.0,2.5,0.0,0.0,0.0010874203871935,0.0027362271212041
2.5,2.5,0.0,0.0,0.0,0.0046753408387303,0.0010895419400185
3.0,0.0,0.0,0.0,0.0,0.0014479689998552,0.0035091671161353
3.5,0.0,0.0,0.0,3.5,0.0199390240013599,0.0025569275021553
3.5,0.0,0.0,3.5,0.0,0.0009658965282142,0.0076897013932466
3.5,0.0,3.5,0.0,0.0,0.0444197058677673,0.0105718094855546
3.5,3.5,0.0,0.0,0.0,0.0174202620983123,0.0324596427381038
5.0,0.0,0.0,0.0,0.0,0.0077371858060359,0.0121347093954682
5.0,0.0,0.0,0.0,5.0,0.0394573993980884,0.0085739707574248
5.0,0.0,0.0,5.0,0.0,0.0206706151366233,0.0389609523117542
5.0,0.0,5.0,0.0,0.0,0.6807912588119507,0.000916720367968
5.0,5.0,0.0,0.0,0.0,0.0545918568968772,0.0231727659702301
7.0,0.0,0.0,0.0,0.0,0.0150378765538334,0.0345223657786846
10.0,0.0,0.0,0.0,0.0,0.0281646847724914,0.0161326322704553
0.0,0.0,0.0,0.0,0.0,0.0081115951761603,0.0159051399677991
0.0,0.0,2.333333333333333,2.333333333333333,2.333333333333333,0.0460051745176315,0.0296411085873842
0.0,2.333333333333333,0.0,2.333333333333333,2.333333333333333,0.0065565276890993,0.0034501235932111
0.0,2.333333333333333,2.333333333333333,0.0,2.333333333333333,0.0149642005562782,0.0039212577976286
0.0,2.333333333333333,2.333333333333333,2.333333333333333,0.0,0.0038554701022803,0.0047021433711051
2.333333333333333,0.0,0.0,2.333333333333333,2.333333333333333,0.0066292411647737,0.00491239503026
2.333333333333333,0.0,2.333333333333333,0.0,2.333333333333333,0.0167658403515815,0.0032277200371026
2.333333333333333,0.0,2.333333333333333,2.333333333333333,0.0,0.0091040218248963,0.0173921231180429
2.333333333333333,2.333333333333333,0.0,0.0,2.333333333333333,0.0099322330206632,0.0003739919920917
2.333333333333333,2.333333333333333,0.0,2.333333333333333,0.0,0.0041981386020779,0.0045509873889386
2.333333333333333,2.333333333333333,2.333333333333333,0.0,0.0,0.0112918065860867,0.0161160565912723
