epoch,step,t_lambda_c,t_lambda_c_epoch,t_lambda_c_step,t_lambda_f,t_lambda_f_epoch,t_lambda_f_step,t_lambda_i,t_lambda_i_epoch,t_lambda_i_step,train_contorno,train_fisica,train_inicio,train_loss,train_loss_final,val_contorno,val_fisica,val_inicio,val_loss
0,15,1.003158688545227,,,0.9694241881370544,,,1.0274171829223633,,,,,,,,0.005211253184825182,0.2439170628786087,0.5236698389053345,0.7797142267227173
0,15,,1.004839539527893,,,0.9814043045043945,,,1.013756275177002,,0.2646515667438507,0.4221877455711365,0.4689153730869293,1.1595056056976318,9.127694129943848,,,,
1,31,1.002023696899414,,,0.9545382857322693,,,1.0434378385543823,,,,,,,,0.009346073493361473,0.018605351448059082,0.507964015007019,0.5571534037590027
1,31,,1.002644658088684,,,0.9617372751235962,,,1.0356180667877197,,0.00878911279141903,0.09056580811738968,0.5057949423789978,0.6200841069221497,2.9822237491607666,,,,
2,47,1.0012003183364868,,,0.9474712610244751,,,1.051328182220459,,,,,,,,0.0007659064722247422,0.002059866674244404,0.5144801139831543,0.5436059236526489
2,47,,1.0012304782867432,,,0.9507336020469666,,,1.0480358600616455,,0.002253092359751463,0.014673165045678616,0.5077925324440002,0.5484639406204224,1.404472827911377,,,,
3,49,,,1.0012965202331543,,,0.9473238587379456,,,1.0513794422149658,,,,,,,,,
3,63,1.0050419569015503,,,0.9479531645774841,,,1.0470048189163208,,,,,,,,1.6818026779219508e-05,0.002251093741506338,0.5168775320053101,0.5433241128921509
3,63,,1.0026410818099976,,,0.9473019242286682,,,1.0500569343566895,,0.00015429577615577728,0.0011611749650910497,0.5080312490463257,0.5347332954406738,0.8688599467277527,,,,
4,79,1.011290431022644,,,0.9512068033218384,,,1.0375028848648071,,,,,,,,1.2245041943970136e-05,0.00043166844989173114,0.5171009302139282,0.5369166731834412
4,79,,1.007887363433838,,,0.9493265151977539,,,1.0427861213684082,,0.0001189096801681444,0.001276498893275857,0.5111322999000549,0.5343332886695862,0.8264066576957703,,,,
5,95,1.018610954284668,,,0.9556126594543457,,,1.0257765054702759,,,,,,,,0.00035483052488416433,0.0004064443928655237,0.5153244733810425,0.5293575525283813
5,95,,1.0146510601043701,,,0.9532088041305542,,,1.0321403741836548,,7.739650754956529e-05,0.0002619147126097232,0.51125168800354,0.5279386043548584,0.7985780835151672,,,,
6,99,,,1.0200648307800293,,,0.9565205574035645,,,1.0234148502349854,,,,,,,,,
6,111,1.0264581441879272,,,0.9605894088745117,,,1.0129523277282715,,,,,,,,0.00010173295595450327,0.00017219586879946291,0.5161727070808411,0.5231281518936157
6,111,,1.0222545862197876,,,0.9579141139984131,,,1.0198314189910889,,0.00019681957201100886,0.0003552171401679516,0.5078232288360596,0.5184649229049683,0.8290972709655762,,,,
7,127,1.0345568656921387,,,0.9658603072166443,,,0.9995827078819275,,,,,,,,0.0002170418738387525,0.00021206964447628707,0.5157183408737183,0.5159325003623962
7,127,,1.030256986618042,,,0.963043212890625,,,1.0066999197006226,,0.00035597608075477183,0.00037664370029233396,0.5096955895423889,0.5138611197471619,0.8418388962745667,,,,
8,143,1.0432419776916504,,,0.9714573621749878,,,0.9853008985519409,,,,,,,,0.0001472145231673494,0.00019353762036189437,0.5181772708892822,0.5109021067619324
8,143,,1.0385677814483643,,,0.9684643149375916,,,0.9929677248001099,,0.00011645390623016283,0.000259469379670918,0.5106775164604187,0.5074652433395386,0.7878921031951904,,,,
9,149,,,1.046054482460022,,,0.973250150680542,,,0.9806954264640808,,,,,,,,,
9,159,1.052420735359192,,,0.9772891402244568,,,0.9702901840209961,,,,,,,,2.6695915948948823e-05,0.00016365601914003491,0.5166906118392944,0.5015279054641724
9,159,,1.0474773645401,,,0.9741529226303101,,,0.9783697724342346,,9.749308810569346e-05,0.00023117898672353476,0.5146599411964417,0.5036439299583435,0.7741244435310364,,,,
10,175,1.0624667406082153,,,0.9835743308067322,,,0.9539586305618286,,,,,,,,0.00018224792438559234,0.00016741175204515457,0.5158408284187317,0.49244916439056396
10,175,,1.0570921897888184,,,0.9802179336547852,,,0.9626898765563965,,7.585791172459722e-05,0.00020462086831685156,0.5095509886741638,0.49072226881980896,0.7481424808502197,,,,
11,191,1.0730198621749878,,,0.9901552796363831,,,0.9368248581886292,,,,,,,,3.5858007322531193e-05,0.00020587124163284898,0.5165953636169434,0.4842016398906708
11,191,,1.0674301385879517,,,0.986672043800354,,,0.9458977580070496,,9.092961408896372e-05,0.00023573906219098717,0.5089441537857056,0.48191767930984497,0.7363177537918091,,,,
12,199,,,1.0776584148406982,,,0.9930101633071899,,,0.929331362247467,,,,,,,,,
12,207,1.083769679069519,,,0.9967359304428101,,,0.9194945096969604,,,,,,,,1.1509645446494687e-05,0.00016213097842410207,0.5172523856163025,0.4757847189903259
12,207,,1.078007698059082,,,0.9932184219360352,,,0.9287739396095276,,2.8199361622682773e-05,0.00018346015713177621,0.5088230967521667,0.47283467650413513,0.6954330801963806,,,,
13,223,1.0950547456741333,,,1.0036110877990723,,,0.9013342261314392,,,,,,,,1.8469636415829882e-05,0.0001835377188399434,0.516789972782135,0.4660049378871918
13,223,,1.0890698432922363,,,0.9999642968177795,,,0.9109657406806946,,3.211493094568141e-05,0.00017313259013462812,0.5114587545394897,0.4662744998931885,0.6904301643371582,,,,
14,239,1.1066149473190308,,,1.010468602180481,,,0.8829164505004883,,,,,,,,1.356936900265282e-05,0.00016084096569102257,0.5173102617263794,0.4569193124771118
14,239,,1.1004362106323242,,,1.00680673122406,,,0.8927568197250366,,1.52773591253208e-05,0.0001781457831384614,0.5087589025497437,0.4543614387512207,0.6655387878417969,,,,
15,249,,,1.1134005784988403,,,1.0145024061203003,,,0.8720970153808594,,,,,,,,,
