"Max Conc","Exp Time","Temp","Cell Viab","Adj Cell Viab","","a","b","c","d","","a","b","c","d","","a","b","c","d","","a","b","c","d","","a","b","c","d","","a","b","c","d","","a","b","c","d","","a","b","c","d","","a","b","c","d"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1","30","26.8","0.86922754884194","0.86922754884194","","0","300","0.5","2.7666666666667","","0","300","30","30.183333333333","","0","300","3","3.2666666666667","","0","300","5","5.15","","Media","Media","1440","1300","","","","","","","","","","","","","","","","","","","",""
"1","30","26.8","0.83256106141579","0.83256106141579","","0","300","0.5","2.7666666666667","","0","300","30","30.183333333333","","0","300","3","3.2666666666667","","0","300","5","5.15","","Media","Media","1440","1300","","","","","","","","","","","","","","","","","","","",""
"1","30","26.8","1.3292037149367","1.3292037149367","","0","300","0.5","2.7666666666667","","0","300","30","30.183333333333","","0","300","3","3.2666666666667","","0","300","5","5.15","","Media","Media","1440","1300","","","","","","","","","","","","","","","","","","","",""
"1","30","26.8","1.1562783557163","1.1562783557163","","0","300","0.5","2.7666666666667","","0","300","30","30.183333333333","","0","300","3","3.2666666666667","","0","300","5","5.15","","Media","Media","1440","1300","","","","","","","","","","","","","","","","","","","",""
"1","30","26.8","0.81272931908929","0.81272931908929","","0","300","0.5","2.7666666666667","","0","300","30","30.183333333333","","0","300","3","3.2666666666667","","0","300","5","5.15","","Media","Media","1440","1300","","","","","","","","","","","","","","","","","","","",""
"1","60","26.8","0.92183919521905","0.92183919521905","","0","300","0.5","2.5833333333333","","0","300","60","60.216666666667","","0","300","3","3.2","","0","300","5","5.1666666666667","","Media","Media","1440","1315","","","","","","","","","","","","","","","","","","","",""
"1","60","26.8","1.0417858591143","1.0417858591143","","0","300","0.5","2.5833333333333","","0","300","60","60.216666666667","","0","300","3","3.2","","0","300","5","5.1666666666667","","Media","Media","1440","1315","","","","","","","","","","","","","","","","","","","",""
"1","60","26.8","1.0631586478011","1.0631586478011","","0","300","0.5","2.5833333333333","","0","300","60","60.216666666667","","0","300","3","3.2","","0","300","5","5.1666666666667","","Media","Media","1440","1315","","","","","","","","","","","","","","","","","","","",""
"1","60","26.8","0.91986870736955","0.91986870736955","","0","300","0.5","2.5833333333333","","0","300","60","60.216666666667","","0","300","3","3.2","","0","300","5","5.1666666666667","","Media","Media","1440","1315","","","","","","","","","","","","","","","","","","","",""
"1","60","26.8","1.053347590496","1.053347590496","","0","300","0.5","2.5833333333333","","0","300","60","60.216666666667","","0","300","3","3.2","","0","300","5","5.1666666666667","","Media","Media","1440","1315","","","","","","","","","","","","","","","","","","","",""
"3","5","24.9","1.0691692896281","1.0691692896281","","0","300","0.5","2.7","","0","300","4","4.15","","0","300","5","5.9","","0","300","4.5","6.3666666666667","","0","300","4.5","6.6333333333333","","0","300","5","5.1666666666667","","Media","Media","1440","1385","","","","","","","","","",""
"3","5","24.9","0.96778031586886","0.96778031586886","","0","300","0.5","2.7","","0","300","4","4.15","","0","300","5","5.9","","0","300","4.5","6.3666666666667","","0","300","4.5","6.6333333333333","","0","300","5","5.1666666666667","","Media","Media","1440","1385","","","","","","","","","",""
"3","5","24.9","0.95444043521094","0.95444043521094","","0","300","0.5","2.7","","0","300","4","4.15","","0","300","5","5.9","","0","300","4.5","6.3666666666667","","0","300","4.5","6.6333333333333","","0","300","5","5.1666666666667","","Media","Media","1440","1385","","","","","","","","","",""
"3","5","24.9","0.95353925652199","0.95353925652199","","0","300","0.5","2.7","","0","300","4","4.15","","0","300","5","5.9","","0","300","4.5","6.3666666666667","","0","300","4.5","6.6333333333333","","0","300","5","5.1666666666667","","Media","Media","1440","1385","","","","","","","","","",""
"3","5","24.9","1.0550707027701","1.0550707027701","","0","300","0.5","2.7","","0","300","4","4.15","","0","300","5","5.9","","0","300","4.5","6.3666666666667","","0","300","4.5","6.6333333333333","","0","300","5","5.1666666666667","","Media","Media","1440","1385","","","","","","","","","",""
"3","10","25.5","0.8273841847367","0.8273841847367","","0","300","0.5","2.7166666666667","","0","300","4","4.7833333333333","","0","300","10","10.3","","0","300","4.5","4.6166666666667","","0","300","4.5","4.65","","0","300","5","5.15","","Media","Media","1440","1230","","","","","","","","","",""
"3","10","25.5","0.90146498505754","0.90146498505754","","0","300","0.5","2.7166666666667","","0","300","4","4.7833333333333","","0","300","10","10.3","","0","300","4.5","4.6166666666667","","0","300","4.5","4.65","","0","300","5","5.15","","Media","Media","1440","1230","","","","","","","","","",""
"3","10","25.5","1.0619035705549","1.0619035705549","","0","300","0.5","2.7166666666667","","0","300","4","4.7833333333333","","0","300","10","10.3","","0","300","4.5","4.6166666666667","","0","300","4.5","4.65","","0","300","5","5.15","","Media","Media","1440","1230","","","","","","","","","",""
"3","10","25.5","1.2351802219566","1.2351802219566","","0","300","0.5","2.7166666666667","","0","300","4","4.7833333333333","","0","300","10","10.3","","0","300","4.5","4.6166666666667","","0","300","4.5","4.65","","0","300","5","5.15","","Media","Media","1440","1230","","","","","","","","","",""
"3","10","25.5","0.97406703769423","0.97406703769423","","0","300","0.5","2.7166666666667","","0","300","4","4.7833333333333","","0","300","10","10.3","","0","300","4.5","4.6166666666667","","0","300","4.5","4.65","","0","300","5","5.15","","Media","Media","1440","1230","","","","","","","","","",""
"3","30","25","0.97998515243215","0.97998515243215","","0","300","0.5","3.05","","0","300","4","4.1666666666667","","0","300","30","30.516666666667","","0","300","4.5","5.1333333333333","","0","300","4.5","4.7333333333333","","0","300","5","5.15","","Media","Media","1440","1245","","","","","","","","","",""
"3","30","25","0.85055528934167","0.85055528934167","","0","300","0.5","3.05","","0","300","4","4.1666666666667","","0","300","30","30.516666666667","","0","300","4.5","5.1333333333333","","0","300","4.5","4.7333333333333","","0","300","5","5.15","","Media","Media","1440","1245","","","","","","","","","",""
"3","30","25","0.94139540934268","0.94139540934268","","0","300","0.5","3.05","","0","300","4","4.1666666666667","","0","300","30","30.516666666667","","0","300","4.5","5.1333333333333","","0","300","4.5","4.7333333333333","","0","300","5","5.15","","Media","Media","1440","1245","","","","","","","","","",""
"3","30","25","1.1491542467875","1.1491542467875","","0","300","0.5","3.05","","0","300","4","4.1666666666667","","0","300","30","30.516666666667","","0","300","4.5","5.1333333333333","","0","300","4.5","4.7333333333333","","0","300","5","5.15","","Media","Media","1440","1245","","","","","","","","","",""
"3","30","25","1.078909902096","1.078909902096","","0","300","0.5","3.05","","0","300","4","4.1666666666667","","0","300","30","30.516666666667","","0","300","4.5","5.1333333333333","","0","300","4.5","4.7333333333333","","0","300","5","5.15","","Media","Media","1440","1245","","","","","","","","","",""
"3","60","24.9","0.99645957497282","0.99645957497282","","0","300","0.5","2.8166666666667","","0","300","4","5.1666666666667","","0","300","60","60.95","","0","300","4.5","4.9833333333333","","0","300","4.5","4.7666666666667","","0","300","5","5.1666666666667","","Media","Media","1440","1290","","","","","","","","","",""
"3","60","24.9","1.044790970223","1.044790970223","","0","300","0.5","2.8166666666667","","0","300","4","5.1666666666667","","0","300","60","60.95","","0","300","4.5","4.9833333333333","","0","300","4.5","4.7666666666667","","0","300","5","5.1666666666667","","Media","Media","1440","1290","","","","","","","","","",""
"3","60","24.9","0.93016663739083","0.93016663739083","","0","300","0.5","2.8166666666667","","0","300","4","5.1666666666667","","0","300","60","60.95","","0","300","4.5","4.9833333333333","","0","300","4.5","4.7666666666667","","0","300","5","5.1666666666667","","Media","Media","1440","1290","","","","","","","","","",""
