"Max Conc","Exp Time","Temp","Cell Viab","Adj Cell Viab","","a","b","c","d","","a","b","c","d","","a","b","c","d","","a","b","c","d","","a","b","c","d","","a","b","c","d","","a","b","c","d","","a","b","c","d","","a","b","c","d"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"7","10","25.2","0.88805903303829","","","0","300","0.5","2.5833333333333","","0","300","4.5","4.65","","0","300","4.5","4.6666666666667","","0","300","10","10.2","","0","300","7","7.9166666666667","","0","300","7","7.15","","0","300","5","5.1666666666667","","0","300","5","5.15","","Media","Media","1440","1210"
"7","10","25.2","1.0733326498444","1.0441128979899","","0","300","0.5","2.5833333333333","","0","300","4.5","4.65","","0","300","4.5","4.6666666666667","","0","300","10","10.2","","0","300","7","7.9166666666667","","0","300","7","7.15","","0","300","5","5.1666666666667","","0","300","5","5.15","","Media","Media","1440","1210"
"7","30","25.75","0.89503786748885","0.89503786748885","","0","300","0.5","3.0166666666667","","0","300","4.5","4.6333333333333","","0","300","4.5","4.65","","0","300","30","30.183333333333","","0","300","7","7.9166666666667","","0","300","7","7.1666666666667","","0","300","5","5.15","","0","300","5","5.1333333333333","","Media","Media","1440","1255"
"7","30","25.75","1.0546971534405","1.0546971534405","","0","300","0.5","3.0166666666667","","0","300","4.5","4.6333333333333","","0","300","4.5","4.65","","0","300","30","30.183333333333","","0","300","7","7.9166666666667","","0","300","7","7.1666666666667","","0","300","5","5.15","","0","300","5","5.1333333333333","","Media","Media","1440","1255"
"7","30","25.75","0.94238106767073","0.94238106767073","","0","300","0.5","3.0166666666667","","0","300","4.5","4.6333333333333","","0","300","4.5","4.65","","0","300","30","30.183333333333","","0","300","7","7.9166666666667","","0","300","7","7.1666666666667","","0","300","5","5.15","","0","300","5","5.1333333333333","","Media","Media","1440","1255"
"7","30","25.75","1.081902039119","1.081902039119","","0","300","0.5","3.0166666666667","","0","300","4.5","4.6333333333333","","0","300","4.5","4.65","","0","300","30","30.183333333333","","0","300","7","7.9166666666667","","0","300","7","7.1666666666667","","0","300","5","5.15","","0","300","5","5.1333333333333","","Media","Media","1440","1255"
"7","30","25.75","1.0259818722809","1.0259818722809","","0","300","0.5","3.0166666666667","","0","300","4.5","4.6333333333333","","0","300","4.5","4.65","","0","300","30","30.183333333333","","0","300","7","7.9166666666667","","0","300","7","7.1666666666667","","0","300","5","5.15","","0","300","5","5.1333333333333","","Media","Media","1440","1255"
"7","60","25.5","1.0770777514541","0.86563313263689","","0","300","0.5","2.6833333333333","","0","300","4.5","4.95","","0","300","4.5","4.6833333333333","","0","300","60","60.333333333333","","0","300","7","7.9833333333333","","0","300","7","7.15","","0","300","5","5.1833333333333","","0","300","5","5.15","","Media","Media","1440","1315"
"7","60","25.5","0.022936572803524","","","0","300","0.5","2.6833333333333","","0","300","4.5","4.95","","0","300","4.5","4.6833333333333","","0","300","60","60.333333333333","","0","300","7","7.9833333333333","","0","300","7","7.15","","0","300","5","5.1833333333333","","0","300","5","5.15","","Media","Media","1440","1315"
"7","60","25.5","1.4956172464953","1.2020077850105","","0","300","0.5","2.6833333333333","","0","300","4.5","4.95","","0","300","4.5","4.6833333333333","","0","300","60","60.333333333333","","0","300","7","7.9833333333333","","0","300","7","7.15","","0","300","5","5.1833333333333","","0","300","5","5.15","","Media","Media","1440","1315"
"7","60","25.5","1.2848903214555","1.0326493445387","","0","300","0.5","2.6833333333333","","0","300","4.5","4.95","","0","300","4.5","4.6833333333333","","0","300","60","60.333333333333","","0","300","7","7.9833333333333","","0","300","7","7.15","","0","300","5","5.1833333333333","","0","300","5","5.15","","Media","Media","1440","1315"
"7","60","25.5","1.1194781077916","0.89970973781395","","0","300","0.5","2.6833333333333","","0","300","4.5","4.95","","0","300","4.5","4.6833333333333","","0","300","60","60.333333333333","","0","300","7","7.9833333333333","","0","300","7","7.15","","0","300","5","5.1833333333333","","0","300","5","5.15","","Media","Media","1440","1315"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Neg Con","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","1","","","","","2","","","","","3","","","","","4","","","","","5","","","","","6","","","","","7","","","","","8","","","","","9","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Max Conc","Exp Time","Temp","Cell Viab","Adj Cell Viab","","a","b","c","d","","a","b","c","d","","a","b","c","d","","a","b","c","d","","a","b","c","d","","a","b","c","d","","a","b","c","d","","a","b","c","d","","a","b","c","d"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
