Gly (mol/L),DMSO (mol/L),PG (mol/L),EG (mol/L),FA (mol/L),Exp Time (min),Temp (°C),Cell Viab (%)
0.0,0.0,0.0,0.0,0.0,5,27,0.99991540649013
0.0,0.0,0.0,0.0,0.0,5,27,0.93234621523699
0.0,0.0,0.0,0.0,0.0,5,27,1.116680733636
0.0,0.0,0.0,0.0,0.0,5,27,0.9785057052983
0.0,0.0,0.0,0.0,0.0,5,27,0.97255193933858
0.0,0.0,0.0,0.0,0.0,10,27,1.0158361024826
0.0,0.0,0.0,0.0,0.0,10,27,0.95220994557735
0.0,0.0,0.0,0.0,0.0,10,27,1.0563184274079
0.0,0.0,0.0,0.0,0.0,10,27,1.0191875815718
0.0,0.0,0.0,0.0,0.0,10,27,0.95644794296035
0.0,0.0,0.0,0.0,0.0,30,27,0.95690403435835
0.0,0.0,0.0,0.0,0.0,30,27,0.93023479224542
0.0,0.0,0.0,0.0,0.0,30,27,0.93152411190243
0.0,0.0,0.0,0.0,0.0,30,27,1.1395186357756
0.0,0.0,0.0,0.0,0.0,30,27,1.0418184257182
0.0,0.0,0.0,0.0,0.0,60,27.1,1.0421911224391
0.0,0.0,0.0,0.0,0.0,60,27.1,0.96161363353498
0.0,0.0,0.0,0.0,0.0,60,27.1,1.0471087346602
0.0,0.0,0.0,0.0,0.0,60,27.1,0.96182069439879
0.0,0.0,0.0,0.0,0.0,60,27.1,0.98726581496694
1.0,0.0,0.0,0.0,0.0,5,23.9,0.76041128084046
1.0,0.0,0.0,0.0,0.0,5,23.9,1.0852388580885
1.0,0.0,0.0,0.0,0.0,5,23.9,1.0095932943109
1.0,0.0,0.0,0.0,0.0,5,23.9,0.97988748425535
1.0,0.0,0.0,0.0,0.0,5,23.9,0.98945250313194
1.0,0.0,0.0,0.0,0.0,10,26.6,0.97785737159651
1.0,0.0,0.0,0.0,0.0,10,26.6,1.1211490140485
1.0,0.0,0.0,0.0,0.0,10,26.6,1.1164362200008
1.0,0.0,0.0,0.0,0.0,10,26.6,1.0781011828088
1.0,0.0,0.0,0.0,0.0,10,26.6,0.9640969758166
1.0,0.0,0.0,0.0,0.0,10,26.6,0.81594292663093
1.0,0.0,0.0,0.0,0.0,30,26.8,0.84332923769999
